,address,description,name,value
835,"Casuarina, Malindi, Kilifi, Coast",4 Bedrooms,Villa For Sale In Malindi,KSh 125000000
836,"Mombasa road, Mombasa Road, Nairobi, Nairobi",4030 Land Size (m²),Mombasa 1 Acre Land for sale,KSh 32000000
837,"Off Mombasa Road, Syokimau, Nairobi, Nairobi",3 Bedrooms,"Stunning 3 Bedrooms Apartment, Syokimau",KSh 9000000
838,"It's along nyangumi rd., Kilimani, Nairobi, Nairobi",3 Bedrooms,A 3 Bedroom Rm Full Furnished Apartment For Sale At Kilimani.,KSh 20000000
839,"Riverside drive., Riverside, Nairobi, Nairobi",1 Land Size (m²),RIVERSIDE - 1.1 ACRE PRIME LAND.,KSh 650000000
840,"Upper Hill, Upper Hill, Nairobi, Nairobi",7082 Land Size (m²),Vacant Land for sale  in Upper Hill - 3ke1308065,Contact seller for price
841,"rose avenue, Kilimani, Nairobi, Nairobi",2 Bedrooms,Kilimani Rose Avenue 2 & 3 Bedroom Apartment,KSh 13500000
842,"Malindi Town, Malindi, Kilifi, Coast",2 Bedrooms,Malindi-House Under Construction For Sale.,KSh 46000000
843,"dennis pritt, Kilimani, Nairobi, Nairobi",2 Bedrooms,2 Bedroom Apartment En-Suite In Kilimani,KSh 14500000
844,"stream drive, Thome, Nairobi, Nairobi",4 Bedrooms,4 Bedroom House For Sale In Thome,KSh 39000000
845,"Westlands, Westlands, Nairobi, Nairobi",2 Bedrooms,2 Bedroom Apartment,KSh 27000000
846,"Ruiru, Nairobi, Nairobi",223 Land Size (m²),40 by  60 Prime Plots of Land for sale in Murera,KSh 650000
847,"Gatundu Road, Kileleshwa, Nairobi, Nairobi",2 Bedrooms,A Lovely 2 Bedrooms Apartment Forsale,KSh 8000000
848,"Lavington Hatheru road, Lavington, Nairobi, Nairobi",3 Bedrooms,3 Bedroom for sale in Lavington,KSh 18000000
849,"Langata, Nairobi, Nairobi",3 Bedrooms,"Apartment, 3 Bedroom All En-Suite - Langata Near Carnivore",KSh 16500000
850,"Runda, Runda, Nairobi, Nairobi",5 Bedrooms,Five Bedroom Townhouse For Sale In Runda,KSh 110000000
851,"Nanyuki, Nanyuki, Laikipia, Rift Valley",35612 Land Size (m²),"Land for sale  ‚Äì Nanyuki, Laikipia, Lkp 41s",KSh 12000000
852,"Siaya road, Kileleshwa, Nairobi, Nairobi",8 Bedrooms,8 Bedroom Penthouse For Sale In Kileleshwa,KSh 80000000
853,"Riara Road, Kilimani, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Apartment Off Plan For Sale On Riara Road.,KSh 11500000
854,"Karai, Karai, Karai, Central",24281 Land Size (m²),"6 Acre Land for sale  in Karai, Kikuyu",KSh 28000000
855,"KIAMBU ROAD, Kiambu Road, Nairobi, Nairobi",2 Bedrooms,2/3 Bedroom Master Ensuite Apartment For Sale In Kiambu Road,KSh 9000000
856,"Mvuli Road, Westlands, Nairobi, Nairobi",3 Bedrooms,Westlands- Lovely Apartment,KSh 22000000
857,"General Mathenge Drive, Westlands, Nairobi, Nairobi",4 Bedrooms,Charming 4 Bedroom Penthouse On General Mathenge,KSh 38000000
858,"runda grove, Runda, Nairobi, Nairobi",8094 Land Size (m²),2 Acres for sale  in Runda,KSh 100000000
859,"Malindi Town, Malindi, Kilifi, Coast",1 Bedrooms,Beach Front En-Suite Apartment For Sale In Malindi,KSh 13800000
860,"opposite Soham, Syokimau, Nairobi, Nairobi",3 Bedrooms,Modern 3 Bedroom Apartment for sale.,KSh 11000000
861,"Ruaka-near muiru drive, Ruaka, Nairobi, Nairobi",2 Bedrooms,Excecutivetwo 2 Bed- Roomed Master Ensuite Apartment For Sale In Ruaka!!!,KSh 6000000
862,"Arwings Kodhek, Kilimani, Nairobi, Nairobi",3 Bedrooms,Fully Furnished 3 Bedrooms + Dsq For Sale In Hurligham,KSh 30000000
863,"Runda, Nairobi, Nairobi",161874 Land Size (m²),161874 Sqm Plot of Land in Runda,Contact seller for price
864,"denis pritt rd,kilimani, Kilimani, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Apartment For Sale In Kilimani.,KSh 11500000
865,"Kileleshwa, Nairobi, Nairobi",2 Bedrooms,2 Bedroom Apartment,KSh 15000000
866,"Riverside, Westlands, Nairobi, Nairobi",2 Bedrooms,Lovely 2 Bedroom Apartments For Sale In Riverside,KSh 14500000
867,"Nakuru, Nakuru, Nakuru, Rift Valley",40 Rooms (total),Modern Guest House in Nakuru Town,KSh 120000000
868,"Malaa-Kantafu, Kangundo Road, Nairobi, Nairobi",506 Land Size (m²),Prime Land 1/8 for sale  in Malaa- Kantafu,KSh 500000
869,"Riara Raod, Riara Road, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Apartments For Sale On Riara Rd,KSh 19000000
870,"Kileleshwa, Nairobi, Nairobi",3 Bedrooms,3 Bedroom 2 Ensuite For Sale In Kileleshwa,KSh 11500000
871,"Langata Road, Karen, Nairobi, Nairobi",NO008LA79FZGINTRESKE-NEW Object ID,5 Acres Commercial Vacant Land for sale  in Karen - 3ke1309809,KSh 350000000
872,"Tabere Crescent , Kileleshwa, Kileleshwa, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Apartment & Sq Kileleshwa 26m.,KSh 26000000
873,"Mbagathi, Mbagathi, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Seefar Apartment - Mbagathi Way,KSh 8000000
874,"Isinya, Isinya, Rift Valley",40468 Land Size (m²),10 Acres Plot of Land in Isinya,Contact seller for price
875,"Acacia Road, Spring Valley, Nairobi, Nairobi",6879 Land Size (m²),"Beautiful Property, Off Gen Mathenge Drive",KSh 550000000
876,"gateway mall, Mombasa Road, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Apartment,KSh 7500000
877,"Karen, Karen, Nairobi, Nairobi",3 Bedrooms,This Roomy Contemporary 3 Bedroom Apartment,Contact seller for price
878,"Gitanga road, Lavington, Nairobi, Nairobi",4 Bedrooms,Off Plan 4 Bedroom Duplexes For Sale In Lavington,KSh 33000000
879,"Mayungu, Malindi, Kilifi, Coast",4 Bedrooms,Modern 4 Bedroom En-Suite Home For Sale,KSh 60000000
880,"Karen, Karen, Nairobi, Nairobi",3 Bedrooms,3 Bedrooms Apartment,Contact seller for price
881,"Chiefs camp along Eastern Bypass, Ruai, Nairobi, Nairobi",1011 Land Size (m²),1/4 Acre Plot Along Eastern Bypass,KSh 5000000
882,"Wood Avenue, Kilimani, Nairobi, Nairobi",4 Bedrooms,Elegant 4 Bedroom Apartment For Sale- Kilimani,KSh 23000000
883,"Hatheru Road, Lavington, Nairobi, Nairobi",4 Bedrooms,"Sumptuous 3 Bedroom Apartments + Dsq For Sale In Lavington, Hatheru Road",KSh 20000000
884,"Nyangumi Road, Kilimani, Nairobi, Nairobi",3 Bedrooms,Kilimani- Nicely Fully Furnished Apartments,KSh 35000000
885,"Riara Road, Riara, Nairobi, Nairobi",3 Bedrooms,"3 Bedroom Apartment For Sale Along Riara Rd, Lavington",KSh 20000000
886,"Kirichwa Road, Kilimani, Nairobi, Nairobi",3 Bedrooms,Spacious 3 Bedrooms Apartments For Sale In Kilimani. From Ksh. 11.8m Only. Ready For Occupation.,KSh 11800000
887,"Rhapta road, Westlands, Nairobi, Nairobi",3 Bedrooms,Three Bedroom Apartment For Sale In Westlands,KSh 27000000
888,"Riara road, Kilimani, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Master Ensuite Fully Furnished And Serviced To Let,KSh 170000
889,"Mombasa Road, Nairobi, Nairobi",2 Bedrooms,Lovely Apartment For Sale,KSh 7000000
890,"5 Minutes too Ridgeways Mall, Thindigua, Nairobi, Nairobi",NO907AP43TEYINTRESKE Object ID,Apartments For Sale In Thindigua,KSh 8300000
891,"Thika Road, Garden Estate, Nairobi, Nairobi",3 Bedrooms,Garden City Mall Elegant Duplex Apartment,KSh 40000000
892,"Mombasa, Nyali, English Point Estate, North Coast , Coast, Coast",5 Bedrooms,Penthouse For Sale With 180â° Views Of The Ocean,KSh 40000000
893,"Ridgeway, Ridgeways, Nairobi, Nairobi",2 Bedrooms,Ridgeway Apartment,KSh 12700000
894,"Kikuyu Township, Kikuyu Township, Central",3 Bedrooms,"Apartments, 3 Bedroom In Kikuyu Town - Off Southern Bypass",KSh 10000000
895,"Ruaka, Nairobi, Nairobi",2 Bedrooms,"Apartment, Willow Park",KSh 7250000
896,"Masanduku lane., Valley arcade , Nairobi, Nairobi",3 Bedrooms,Lavington / Valley Arcade - 3 Bedroom Apartment.,KSh 24000000
897,"convent drive, Lavington, Nairobi, Nairobi",5 Bedrooms,House for sale,KSh 75000000
898,"muthama, Naivasha Road, Nairobi, Nairobi",2 Bedrooms,Apartment For Sale,KSh 5200000
899,"Lavington, Lavington, Nairobi, Nairobi",5 Bedrooms,Impeccable 5 Bedroom Town- House in Lavington,KSh 80000000
900,"Kibokoni Residence, Malindi, Kilifi, Coast",4 Bedrooms,Malindi-House For Sale,KSh 26000000
901,"Dennis Pritt Rd,Kilimani, Kilimani, Nairobi, Nairobi",1 Bedrooms,Beatiful And Spacious 1 Bedroom Apartments For Sale In Kilimani-9.5m,KSh 9500000
902,"Karen, Karen, Nairobi, Nairobi",10100 Land Size (m²),25 Acres  of Land for sale  in Karen - 3ke1500007,KSh 125000000
903,"Lenana Rd, Kilimani, Nairobi, Nairobi",4 Bedrooms,4 Bedroom Apartment For Sale In Kilimani,KSh 40000000
904,"KERARAPON, Karen, Nairobi, Nairobi",2 Bedrooms,Beautiful 2 Bedroom Apartment-Benann Apartments- Karen,KSh 7500000
905,"Diani Beach Road, Diani Beach, South coast, Coast",1 Bedrooms,"Diani Beach, Studio Apartment, Excellent Quality And Location",KSh 5750000
906,"Kamiti Road, Kamiti, Nairobi, Nairobi",2 Bedrooms,Warira Court,KSh 6000000
907,"Parklands, Parklands, Nairobi, Nairobi",4 Bedrooms,Four Bedroom Apartment For Sale In Parklands,KSh 25000000
908,"Kilimani, Nairobi, Nairobi",3 Bedrooms,Beautiful Apaprtment With Prestige In Kilimani,KSh 20000000
909,"Lavington off oledume road, Lavington, Nairobi, Nairobi",3 Bedrooms,Melody Garden Apartments For Sale.,KSh 27000000
910,"Nyali, Nyali, Mombasa, Coast",3 Bedrooms,Nyali - Acacia Park Apartments,KSh 16000000
911,"Kilimani, Nairobi Kenya, Kilimani, Nairobi, Nairobi",2 Bedrooms,Kilimani 2 Bedroom Master Ensuite Apartment For Sale,KSh 15500000
912,"Muringa road, Kilimani, Nairobi, Nairobi",3 Bedrooms,Apartment On Muringa Road,KSh 22000000
913,"Kikuyu, Limuru road, Nairobi, Nairobi",4 Bedrooms,"Elegant 4 Bedroom Townhouses for Sale, off Naivasha- Nakuru Highway",KSh 11500000
914,"Runda, Nairobi, Nairobi",4046 Land Size (m²),1 Acre Vacant Land for sale  in Runda,KSh 80000000
915,"Laikipia Road, Kileleshwa, Nairobi, Nairobi",2 Bedrooms,Luxury Apartments In Kileleshwa,KSh 27000000
916,"Hatheru road, Lavington, Nairobi, Nairobi",3 Bedrooms,Lavington - 3 Bedroom Modern Apartment.,KSh 22000000
917,"Kilimani, Kilimani, Nairobi, Nairobi",3 Bedrooms,Newly Built 3 Bedroom Apartment For Sale,KSh 26000000
918,"General Mathenge Drive, Westlands, Nairobi, Nairobi",5 Bedrooms,5 Bedroom Apartment For Sale In Westlands,KSh 98000000
919,"Kiambu, Kiambu Road, Nairobi, Nairobi",2 Bedrooms,Elegant 2 Bedroom Apartment At Mitini Scapes,KSh 10750000
920,"Valley Arcade, Lavington, Nairobi, Nairobi",3 Bedrooms,Stylish 3 Bedroom Apartment Fully Furnished,KSh 26000000
921,"Loresho, Loresho, Nairobi, Nairobi",4 Bedrooms,Cosy 4 Bedroom Bungalow For Sale,KSh 82000000
922,"Lower Kabete Road, Hill view estate , Nairobi, Nairobi",8 Bedrooms,"Beautiful 8 Bedroom Multi-Family Townhouse, Lower Kabete Road",KSh 120000000
923,"Pilipili Way, Westlands, Nairobi, Nairobi",2 Bedrooms,Westlands Luxury Apartment,KSh 25000000
924,"schoolane, Brookside, Nairobi, Nairobi",3 Bedrooms,An Executive And Exclusive Apartment For Sale In Westlands,KSh 27000000
925,"Pipeline Rd, Greater southern Bypass, Kisaju, Kajiado, Rift Valley",NO704LA74QQJINTRESKE-NEW Object ID,"Elono Plains, Serviced Plots",KSh 2000000
926,"Thindigua, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Apartment in Thindigua,KSh 65000
927,"Ngong Race Course, Ngong Road, Nairobi, Nairobi",3 Bedrooms,The Grand Eben Park,KSh 13600000
928,"80200, Malindi, Kilifi, Coast",5 Bedrooms,5 Bedroom House for sale in Malindi,KSh 25000000
929,"Riverside, Nairobi, Nairobi",4 Bedrooms,4 Bedroom Apartment For Sale,KSh 29000000
930,"NAIVASHA ROADS, Naivasha Road, Nairobi, Nairobi",1 Bedrooms,Studio Apartment For Sale On Naivasha Road,KSh 4500000
931,"Wood Avenue, Kilimani, Nairobi, Nairobi",2 Bedrooms,"2 Bedroom Apartment For Sale On Wood Avenue Road, Kilimani.",KSh 20000000
932,"Kileleshwa, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Apartment + Dsq Great Design & Spacious,KSh 21500000
933,"Denis Pilt Road, Kilimani, Nairobi, Nairobi",3 Bedrooms,Brand New 3 Bedroom Apartment All Ensuite,KSh 21000000
934,"E.CHURCH ROAD, Westlands, Nairobi, Nairobi",3 Bedrooms,"3 Bedroom Exclusive Apartment For Sale, Westlands",KSh 30000000
935,"Lavington, Lavington, Nairobi, Nairobi",3 Bedrooms,3 Bedroom For Sale In Lavington,KSh 23000000
936,"Opposite kasuku center, Kileleshwa, Nairobi, Nairobi",3 Bedrooms,Brand New 3 Bedroom With Dsq For Sale,KSh 20000000
937,"Lenanan road, Kilimani, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Apartment For Sale In Kilimani,KSh 35000000
938,"Woodley, Ngong Road, Nairobi, Nairobi",3 Bedrooms,"A 3 Bedroom Apartment for sale, off Ngong Road, Woodley",KSh 15750000
939,"JOSKA, Joska, Nairobi, Nairobi",2 Bedrooms,Osten Terrace Phase 2,KSh 2250000
940,"Garden Estate, Thika Road, Nairobi, Nairobi",2024 Land Size (m²),Prime Land for sale -Thika Road,KSh 60000000
941,"Brookside Drive, Westlands, Nairobi, Nairobi",3 Bedrooms,Three Bedroom Apartment For Sale In Brookside Westlands,KSh 28000000
942,"Ngong road, Ngong Road, Nairobi, Nairobi",1 Bedrooms,1 Bedroom For Sale In Ngong Road,KSh 4500000
943,"Mbagathi road, Kenyatta, Nairobi, Nairobi",3 Bedrooms,"Nairobi, Mbagathi Way , 3 Bedroom Apartment For Sale",KSh 10000000
944,"General Mathenge Dr, Westlands, Nairobi, Nairobi",5 Bedrooms,5 Bedroom Apartment For Sale In Westlands,KSh 95000000
945,"Upper Hill, Upper Hill, Nairobi, Nairobi",4047 Land Size (m²),Vacant Land for sale  in Upper Hill - 3ke1307931,KSh 700000000
946,"Crescent road, Westlands, Nairobi, Nairobi",3 Bedrooms,Crescent Road Apartments,KSh 22500000
947,"Kitisuru, Kitisuru, Nairobi, Nairobi",4047 Land Size (m²),Kitisuru 05 Acre Plot for sale,KSh 40000000
948,"Mombasa Rd, Mombasa Road, Nairobi, Nairobi",1 Bedrooms,Luxurious 1 Bedroom Apartment,KSh 2950000
949,"Kileleshwa, Nairobi, Nairobi",3 Bedrooms,Apartment at Kikambala Court,KSh 25000000
950,"Kilimani, Kilimani, Nairobi, Nairobi",3 Bedrooms,Loresho 3 Bedroom Apartments For Sale,KSh 15000000
951,"Riara Road, Maziwa, Nairobi, Nairobi",4 Bedrooms,4 Bedroom Plus Sq Penthouse For Sale In Lavington,KSh 55000000
952,"Malindi Town, Malindi, Kilifi, Coast",3 Bedrooms,Malindi-House For Sale.,KSh 17000000
953,"Brookside, Brookside, Nairobi, Nairobi",3 Bedrooms,Elegant 3 Bedrooms Apartment With A Dsq For Sale In Brookside.,KSh 25000000
954,"Argwings Kodhek road, Kilimani, Nairobi, Nairobi",3 Bedrooms,Impeccable And Luxurious 3 Bedroom Apartment With A Dsq For Sale In Kilimani,KSh 42000000
955,"Riveside Drive, Riverside, Nairobi, Nairobi",3 Bedrooms,Delighted 3 Bedrooms Apartment For Sale,KSh 22000000
956,"Spring Valley, Nairobi, Nairobi",3 Bedrooms,"Apartment at Spring Valley, General Mathenge Drive",KSh 40000000
957,"NEW BYPASS, Kileleshwa, Nairobi, Nairobi",3 Bedrooms,Executive 3 Bedroom Apartment For Sale Kileleshwa,KSh 23000000
958,"Kiserian, Kiserian, Kiserian, Rift Valley",506 Land Size (m²),1/8 Plots for sale  in Kiserian,KSh 200000
959,"Lenana road, Kilimani, Nairobi, Nairobi",3 Bedrooms,Three Bedroom Apartment For Sale In Kilimani,KSh 25000000
960,"Migaa golf estate, Kiambu Road, Nairobi, Nairobi",1 Bedrooms,1 Bedroom For Sale At Migaa Golf Estate,KSh 6800000
961,"South C, Nairobi, Nairobi",3 Bedrooms,Dg Oasis 3 Bed Roomed 2 En-Suite With Sq - South C,KSh 17000000
962,"GOLF ROAD, Malindi, Kilifi, Coast",4 Bedrooms,Tranquil Apartment For Sale,KSh 15000000
963,"Gitanga close, Lavington, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Plus Dsq All Ensuite,KSh 22000000
964,"Mombasa road, Mombasa Road, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Apartment For Sale Mombasa Road,KSh 8500000
965,"Kilimani, Kilimani, Nairobi, Nairobi",4 Bedrooms,4br Apartments,KSh 20000000
966,"Riara Rd, Kilimani, Nairobi, Nairobi",2 Bedrooms,2 Bedroom Apartment / Flat For Sale In Kilimani,KSh 11500000
967,"apartment for sale in Sigona at waiyaki way, Westlands, Nairobi, Nairobi",4 Bedrooms,Excecutive Two Bed- Roomed Master En-Suite Apartment For Sale In Ruaka!!!,KSh 11000000
968,"Muringa Road, Kilimani, Nairobi, Nairobi",4 Bedrooms,A Beautifully Done 3 Bedrooms Apartment Forsale,KSh 40000000
969,"Riverside Drive, Riverside, Nairobi, Nairobi",4 Bedrooms,Four Bedroom Apartment For Sale In Riverside,KSh 30000000
970,"Off Othaya Road, Kileleshwa, Nairobi, Nairobi",3 Bedrooms,Spacious And Luxurious 3 Bedroom Available For Sale In Kileleshwa,KSh 16500000
971,"It's along siaya rd., Kileleshwa, Nairobi, Nairobi",3 Bedrooms,A 3bdrm With A Dsq For Sale At Kileleshwa.,KSh 23000000
972,"Kileleshwa, Kileleshwa, Nairobi, Nairobi",3 Bedrooms,Kileleshwa: Brand New & Elegant Apartments For Sale 25m,KSh 23500000
973,"Thika Township, Thika Township, Central",3 Bedrooms,Kivulini Apartments - Thika,KSh 5950000
974,"Eldoret Airport road, Riruta, Kapsabet Township, Rift Valley",3 Bedrooms,Three Bedroom Apartment For Sale In Eldoret,KSh 6300000
975,"Lavington, Riara road., Lavington, Nairobi, Nairobi",3 Bedrooms,"Cozy 3 Bedroom Apartment For Sale, Lavington, Riara Road",KSh 21000000
976,"Uthiru, Waiyaki Way, Nairobi, Nairobi",3 Bedrooms,"Breathtaking 3 Bedroom Apartments for sale, off Waiyaki Way",KSh 10150000
977,"Enterprises Road, Industrial Area, Nairobi, Nairobi",6 Rooms (total),Prime Industrial Property In Industrial Area,Contact seller for price
978,"sixth parklands, Parklands, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Apartment For Sale In Parklands,KSh 40000000
979,"Kiambu road, Thindigua, Nairobi, Nairobi",3 Bedrooms,"3 Bedroom Apartments For Sale At Thindigua, Kiambu Road",KSh 13900000
980,"Mpaka Road, Westlands, Nairobi, Nairobi",4 Bedrooms,Westlands- Spacious Apartment,KSh 35000000
981,"NYERI RD, Kileleshwa, Nairobi, Nairobi",4 Bedrooms,Kileleshwa;4bedroom Apartment With Dsq For Sale,KSh 41000000
982,"Riara Road, Riara, Nairobi, Nairobi",4 Bedrooms,4 Bedroom Apartment For Sale In Riara,KSh 16500000
983,"Mbooni Road Kileleshwa, Kileleshwa, Nairobi, Nairobi",3 Bedrooms,3 Bedroom & Dsq Apartment For Sale In Kileleshwa,KSh 21500000
984,"Lavington, Nairobi, Nairobi",4 Bedrooms,"Luxurious 4 Bedroom Apartment, Lavington",KSh 14000000
985,"Vihiga Road, Kileleshwa, Nairobi, Nairobi",4 Bedrooms,4 Bedroom Apartment / Flat For Sale In Kileleshwa,KSh 35000000
986,"Kiamumbi, Kahawa West, Nairobi, Nairobi",2 Bedrooms,2 Bedroom Apartment For Sale In Kahawa West,KSh 5500000
987,"Diani Road, Kilimani, Nairobi, Nairobi",2 Bedrooms,A Fully Furnished 2 Bedrooms Apartment Forsale,KSh 22000000
988,"80200, Malindi, Kilifi, Coast",2 Bedrooms,Quaint 2 Bedroom Apartment For Sale In Malindi,KSh 7000000
989,"kikuyu road, Kikuyu, Kikuyu Township, Central",2 Bedrooms,2 Bedroom Apartment For Sale In Kikuyu,KSh 5200000
990,"Riabai Road,Kiambu Township, Kiambu Township, Kiambu, Central",500 Land Size (m²),Kiambu Migaa Golf Estate Eigth Acre Plot Inclusive Of WadiDegla Membership,KSh 5500000
991,"Suguta Road Kileleshwa, Kileleshwa, Nairobi, Nairobi",2 Bedrooms,Crystal Luxury Suite - Kileleshwa,KSh 15500000
992,"Kajiado, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Bungalow For Sale In Kitengela,KSh 6800000
993,"Lavington, Lavington, Nairobi, Nairobi",5 Bedrooms,Lavish 5 Bedroom Town- House in Lavington,KSh 80000000
994,"Off Othaya Road, Kileleshwa, Nairobi, Nairobi",2 Bedrooms,Luxurious 2 Bedroom For Sale In Kileleshwa,KSh 12500000
995,"Isinya, Isinya, Kajiado, Rift Valley",40460 Land Size (m²),10 Acres Prime Land for sale  in Isinya,KSh 17000000
996,"Karen, Karen, Nairobi, Nairobi",2 Bedrooms,2 Bedroom Apartment For Sale In Karen,KSh 9000000
997,"Hatheru road, Lavington, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Apartment For Sale In Lavington,KSh 29500000
998,"langata road, Langata, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Apartment For Sale Langata Nairobi,KSh 14000000
999,"Dennis Pritt Rd,kilimani, Riruta, Nairobi, Nairobi",2 Bedrooms,2 Bedroom Apartment For Sale In Kilimani 9.7m,KSh 9700000
1000,"6GCRMQWH+9V, Ngong Road, Nairobi, Nairobi",3 Bedrooms,Woodley Springs,KSh 14500000
1001,"Kantafu, Kangundo Road, Nairobi, Nairobi",80937 Land Size (m²),20 Acres  of Land in Kantafu,KSh 50000000
1002,"It's along brookside gardens., Brookside, Nairobi, Nairobi",2 Bedrooms,A Brand New 2bdrm Apartment For Sale In Westland Along Brookside Gardens.,KSh 20000000
1003,"Ruiru, Nairobi, Nairobi",2 Bedrooms,"Dahlia Gardens, 2 Bedrooms, Master En-Suite Â€“ Ruiru Â€“ A Long Thika Supper Highway",KSh 7500000
1004,"GATUNDU CRESCENT RD, Kileleshwa, Nairobi, Nairobi",3 Bedrooms,Kileleshwa;3bedroom Apartment For Sale,KSh 19500000
1005,"Kileleshwa, Kileleshwa, Nairobi, Nairobi",3 Bedrooms,Contemporary 3 Bedroom Apartment In Kileleshwa,KSh 18000000
1006,"Off Mombasa road, Syokimau, Nairobi, Nairobi",2 Bedrooms,"2 Bedroom Apartment Â€“ Five Star Gardens, Syokimau",KSh 6500000
1007,"Donyo Sabuk Lane, Westlands, Nairobi, Nairobi",2 Bedrooms,Donyo Park Luxury Apartment Homes (Gen Mathenge Westlands),KSh 19800000
1008,"MOMBASA ROAD, Mombasa Road, Nairobi, Nairobi",1 Rooms (total),STORAGE SPACE FOR SALE,KSh 6500000
1009,"Eastern by Pass, Ruiru, Ruiru, Central",NO048LA54SRDINTRESKE-NEW Object ID,1 Acre Plot Eastern By Pass for sale,KSh 15000000
1010,"It's along siaya rd., Kileleshwa, Nairobi, Nairobi",3 Bedrooms,A Beautiful 3 Bedroom With A Dsq For Sale At Kileleshwa,KSh 23000000
1011,"Kangundo Rd , Kamulu, Kangundo Road, Nairobi, Nairobi",3 Bedrooms,"3 Bedroom Bungalow For Sale , Kangundo Rd , Kamulu",KSh 6600000
1012,"Ruaka Road, Runda, Nairobi, Nairobi",9305 Land Size (m²),23 Acres  of Land in Old Runda - S233,KSh 280000000
1013,"Kandara road, Kileleshwa, Nairobi, Nairobi",3 Bedrooms,Comfortable 3 Bedrooms Apartment For Sale In Kileleshwa,KSh 19000000
1014,"P.O. Box 6 10218, Joska, Nairobi, Nairobi",2 Bedrooms,Osten Terrace Gardens- Apartment,KSh 4350000
1015,"Argwings Kodhek road, Kilimani, Nairobi, Nairobi",5 Bedrooms,Impeccable 5 Bedroom Luxury Penthouse With A Dsq For Sale In Kilimani,KSh 70000000
1016,"Syokimau, Syokimau, Nairobi, Nairobi",8092 Land Size (m²),2 Acre Land for sale  in Syokimau,KSh 22000000
1017,"Uthiru, Waiyaki Way, Nairobi, Nairobi",2 Bedrooms,"Spacious 2 Bedroom Apartments, off Waiyaki Way",KSh 9750000
1018,"Mlolongo, Mlolongo, Nairobi, Nairobi",1 Baths,Studio Apartment For Sale,KSh 2250000
1019,"Excecutive two bedroomed house for sale in Ruaka-Mucatha, Ruaka, Nairobi, Nairobi",2 Bedrooms,Excecutive Two Bedroomed Apartment For Sale In Ruaka!!!,KSh 6000000
1020,"Ridgeways, Nairobi, Nairobi",4 Bedrooms,All that glitters! Ridgeways mansion,KSh 120000000
1021,"Kilimani road, Kilimani, Nairobi, Nairobi",1 Rooms (total),"Spacious OFFICE SPACE For Sale in Kilimani, Kilimani road.",KSh 48000000
1022,"Mombasa road, Mlolongo, Nairobi, Nairobi",2 Bedrooms,2 Bedroom Apartment For Sale Along Mombasa Road,KSh 4600000
1023,"Off Dagoretti Bypass, Karen, Nairobi, Nairobi",NO008LA76FZJINTRESKE-NEW Object ID,15 Acres Vacant Land for sale  in Karen - 3ke1317555,KSh 81000000
1024,"fisheries bamburi, Bamburi, Mombasa, Coast",10 Bedrooms,Complex For Sale,KSh 18000000
1025,"DENNIS PRITT-KILIMANI, Kilimani, Nairobi, Nairobi",3 Bedrooms,Crest Park Apartments-Dennis Pritt Road-Kilimani,KSh 16500000
1026,"Lavington, Nairobi, Nairobi",4 Bedrooms,Apartment For Sale,KSh 24000000
1027,"Kileleshwa, Nairobi, Nairobi",3 Bedrooms,3 Bedroom For Sale In Kileleshwa,KSh 18000000
1028,"karuguru Area, Ruiru, Ruiru, Central",4 Bedrooms,Beautiful 4 Bedroom Bungalow for sale in Ruiru Karuguru Area,KSh 10000000
1029,"4 bedroomed apartment for sale in Sigona near wida hotel, Waiyaki Way, Nairobi, Nairobi",4 Bedrooms,4 Bedroomed Apartment For Sale In Sigona Near Wida Hotel,KSh 11000000
1030,"Mbagathi way, Mbagathi, Nairobi, Nairobi",3 Bedrooms,Apartment For Sale In Akila Ii,KSh 15000000
1031,"Lenana Road, Kilimani, Nairobi, Nairobi",2 Bedrooms,Excellently Done 2 Bedrooms Apartment,KSh 18000000
1032,"Brookside, Brookside, Nairobi, Nairobi",4 Bedrooms,Brookside-4 Bedroom Apartment With All En-Suite Pool Stand By Generator,KSh 30000000
1033,"Juja, Juja, Kiambu, Central",2 Bedrooms,Beautiful 2 Bedroom Apartment For Sale In Juja,KSh 5000000
1034,"Kileleshwa, Nairobi, Nairobi",5 Bedrooms,Apartment Penthouse Duplex 5br All En-Suite - Kileleshwa - Githunguri Rd,KSh 35000000
1035,"Laikipia Road, Kileleshwa, Nairobi, Nairobi",3 Bedrooms,Luxury Apartments In Kileleshwa,KSh 37000000
